"loyalty.amount";"Loyalty Amount"
"popup.id";"ID:"
"modifier";"Modifier"
"mix.not.support.refund";"Mix tender type is not supported for refunds."
"External Card";"External Card"
"Thank you for shopping. See you soon.";"Thank you for shopping. See you soon."
"choose.pole.display";"Choose pole display"
"open.date";"Open Date"
"void";"Void"
"invalid.credit.status.reason.no.credit.check";"Invalid credit status! Reason: No Credit Check"
"check.balance";"Check Balance"
"make.a.return";"Make a Return"
"BootstrapDialog.Danger";"Danger"
"Payment";"Payment"
"select.printer";"Select Printer"
"Price";"Price"
"Skip";"Skip"
"edit.on.fly";"Edit on Fly"
"customer.signature";"Customer's Signature"
"Save";"Save"
"Amt Due";"Amt Due"
"check.amount";"Check Amount"
"payment.cash";"Payment Cash"
"new.item";"New Item"
"no";"No"
"swipe.credit.card";"Swipe Credit Card"
"invalid.discount.amount";"Invalid Discount Amount"
"clocking.out.last.user";"Clocking out the last user. Continue?"
"delete";"Delete"
"Clear";"Clear"
"total";"Total"
"reload";"Reload"
"Phone";"Phone"
"amount.off";"Amount Off"
"ok";"Ok"
"popup.min.price";"Min. Price:"
"schedule.date";"Schedule Date"
"comments";"COMMENTS"
"Gift Card";"Gift Card"
"log.out";"Logout"
"popup.name";"Name:"
"Vendor";"Vendor"
"popup.fax";"Fax:"
"card.cvv";"Card CVV"
"please.enter.pin";"Please enter PIN:"
"change.user";"Change User"
"popup.sales.price.list";"Sales Price List:"
"redeem.loyalty";"Redeem Loyalty"
"do.you.want.to.proceed.with.external.card.machine";"Do you want to proceed with External Card Machine?"
"open.amt";"Open Amount"
"reload.gift.card";"Reload Gift Card"
"float.amount";"Float Amount"
"invalid.pin";"Invalid PIN"
"java.applet";"Java Applet"
"about";"About"
"password";"Password"
"popup.total";"Total:"
"payment.check";"Payment Check"
"credit.card.number.is.required";"Credit Card Number is required!"
"BootstrapDialog.Success";"Success"
"welcome";"Welcome {0}"
"inventory.qty";"Inventory Qty"
"failed.to.load.terminal";"Failed to load terminal!"
"invalid.card.amt";"Invalid card amt"
"closing.amt";"Closing Amt"
"completed";"Completed"
"popup.city";"City:"
"discount.on.total.denied";"Discount on total denied!"
"cannot.use.both.credit.card.and.external.card";"Can't use both Credit Card and External Card."
"popup.product.type";"Product Type:"
"The upsell buffer cannot be negative!";"The upsell buffer cannot be negative!"
"popup.card.no.mandatory";"Card No *:"
"male";"Male"
"invalid.card.number";"Invalid Card Number!"
"gift.card";"Gift Card"
"time.in";"Time In"
"sales.rep";"Sales Rep"
"invalid.voucher.amount";"Invalid Voucher Amount."
"Do you want to void this order?";"Do you want to void this order?"
"external.card";"External Card"
"popup.credit.status";"Credit Status:"
"mix";"Mix"
"run.end.of.day";"Run End of Day"
"email";"Email"
"popup.terminal.information";"Terminal Information"
"gift.amount";"Gift Card Amount"
"TaxNo";"TaxNo"
"refresh";"Refresh"
"payment.mix";"Payment Mix"
"change.due";"Change Due"
"store";"Store"
"payment.credit.card";"Payment Credit Card"
"test.pole.display";"Test pole display"
"failed.to.process.your.request";"Failed to process your request!"
"Cheque";"Cheque"
"invalid.credit.status.reason.credit.limit.not.set";"Invalid credit status! Reason: Credit limit not set"
"Phone No";"Phone No"
