Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
F007890,F007890,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1299,425.435921,2. Barcode Printed
F007891,F007891,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,359.257,2. Barcode Printed
F007892,F007892,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1049,349.8028684,2. Barcode Printed
F007893,F007893,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1049,349.8028684,2. Barcode Printed
F007894,F007894,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,359.257,2. Barcode Printed
F007895,F007895,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1299,425.435921,2. Barcode Printed
F007896,F007896,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1249,406.5276579,2. Barcode Printed
F007897,F007897,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,799,255.2615526,2. Barcode Printed
F007898,F007898,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,378.1652631,2. Barcode Printed
F007899,F007899,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1399,378.1652631,2. Barcode Printed
F007900,F007900,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1299,359.257,2. Barcode Printed
F007901,F007901,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,378.1652631,2. Barcode Printed
F007902,F007902,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1499,406.5276579,2. Barcode Printed
F007903,F007903,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,330.8946052,2. Barcode Printed
F007904,F007904,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,799,264.7156842,2. Barcode Printed
F007905,F007905,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,302.5322105,2. Barcode Printed
F007906,F007906,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1499,359.257,2. Barcode Printed
F007907,F007907,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1399,359.257,2. Barcode Printed
F007908,F007908,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,274.1698158,2. Barcode Printed
F007909,F007909,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,302.5322105,2. Barcode Printed
F007910,F007910,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,799,245.807421,2. Barcode Printed
F007911,F007911,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,302.5322105,2. Barcode Printed
F007912,F007912,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1299,340.3487368,2. Barcode Printed
F007913,F007913,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,302.5322105,2. Barcode Printed
F007914,F007914,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,499,226.8991579,2. Barcode Printed
F007915,F007915,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,399,189.0826316,2. Barcode Printed
F007929,F007929,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,283.6239473,2. Barcode Printed
F007930,F007930,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,321.4404737,2. Barcode Printed
F007931,F007931,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1099,321.4404737,2. Barcode Printed
F007932,F007932,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,349.8028684,2. Barcode Printed
F007933,F007933,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1399,311.9863421,2. Barcode Printed
F007934,F007934,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,302.5322105,2. Barcode Printed
F007976,F007976,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,330.8946052,2. Barcode Printed
F007977,F007977,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,349.8028684,2. Barcode Printed
F007978,F007978,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,799,189.0826316,2. Barcode Printed
F007979,F007979,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1399,283.6239473,2. Barcode Printed
F007980,F007980,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1399,330.8946052,2. Barcode Printed
